date,p,wisp_24
2006-07-11,0,1.06319935030597
2006-07-12,0,2.03648802057177
2006-07-13,0.0061,2.28583543095676
2006-07-14,0.129414285714286,4.07225002509678
2006-07-15,0.67938,5.84675405497154
2006-07-16,0.663178571428571,5.8559748776471
2006-07-17,0.337507142857143,4.2226801387342
2006-07-18,0,1.00269661087096
2006-07-19,0,0.671147685042064
2006-07-20,0.276764285714286,3.55752945189113
2006-07-21,0,1.07458928854578
2006-07-22,0.049957142857143,2.19346115690713
2006-07-23,0.018078571428571,1.34823055971946
2006-07-24,0.040542857142857,2.38692704025678
2006-07-25,0.000307142857143,1.75985105787826
2006-07-26,0.017671428571429,1.75931969066053
2006-07-27,0,1.40907748543334
2006-07-29,0.067435714285714,1.7766534029997
2006-07-30,0.383014285714286,5.33890080819355
